Record_Timestamp,Production_ID,Date,Machine_ID,Shift,Operator_ID,Material_Type,Working_Hours,Production_Tons,Fuel_Consumed_Liters,Downtime_Minutes,Weather_Condition,Road_Condition_Status,Equipment_Efficiency_Percent,Fuel_Efficiency_Tons_per_Liter,Incident_Report,Maintenance_Required,CO2_Emission_kg,Production_Risk_Level,Production_Cost_USD,Revenue_USD
2025-01-01 00:00:00,PD_1,2025-01-01,MCH_361,Afternoon,OP_20,Iron Sand,10.8,541.7,433.5,18.1,Foggy,Operational,91.6,1.54,1,0,612.9,Low,11447.63,34938.39
2025-01-01 01:00:00,PD_2,2025-01-01,MCH_956,Afternoon,OP_10,Coal,11.9,423.0,100.5,137.8,Storm,Closed,65.2,4.74,0,0,955.6,High,8433.78,14264.72
2025-01-01 02:00:00,PD_3,2025-01-01,MCH_625,Afternoon,OP_35,Nickel,6.5,786.7,507.4,39.0,Clear,Severely Damaged,65.9,4.82,0,0,870.6,Low,2343.84,12653.18
2025-01-01 03:00:00,PD_4,2025-01-01,MCH_460,Night,OP_4,Coal,11.3,498.9,698.7,142.8,Foggy,Severely Damaged,85.2,4.73,0,0,199.3,Low,13254.65,11364.08
2025-01-01 04:00:00,PD_5,2025-01-01,MCH_808,Morning,OP_29,Coal,10.8,809.9,635.7,123.0,Foggy,Operational,86.3,1.67,0,0,571.7,Medium,18821.19,32540.59
2025-01-01 05:00:00,PD_6,2025-01-01,MCH_322,Morning,OP_44,Coal,5.1,998.2,723.7,30.6,Rainy,Operational,63.5,2.51,0,0,192.4,Low,3110.17,15827.22
2025-01-01 06:00:00,PD_7,2025-01-01,MCH_519,Night,OP_17,Coal,11.1,811.5,734.1,22.6,Rainy,Closed,79.4,2.43,0,0,166.8,Medium,9366.79,39745.51
2025-01-01 07:00:00,PD_8,2025-01-01,MCH_740,Night,OP_2,Coal,6.9,184.9,305.4,147.1,Clear,Closed,70.2,3.11,0,1,305.3,Low,10844.02,36463.48
2025-01-01 08:00:00,PD_9,2025-01-01,MCH_527,Morning,OP_15,Coal,9.6,830.8,115.6,173.8,Rainy,Operational,64.1,3.13,0,0,1059.5,Low,4564.5,13287.13
2025-01-01 09:00:00,PD_10,2025-01-01,MCH_214,Night,OP_17,Coal,11.3,688.0,761.7,58.2,Clear,Operational,77.3,2.57,0,0,931.3,Low,6619.4,38770.93
2025-01-01 10:00:00,PD_11,2025-01-01,MCH_240,Night,OP_43,Coal,10.0,801.6,238.0,158.4,Rainy,Operational,87.1,1.52,0,0,1109.8,Low,13531.61,9264.23
2025-01-01 11:00:00,PD_12,2025-01-01,MCH_599,Morning,OP_8,Coal,9.8,50.8,667.0,84.4,Clear,Operational,91.3,2.31,0,0,1221.1,Medium,6169.41,3840.01
2025-01-01 12:00:00,PD_13,2025-01-01,MCH_523,Night,OP_38,Coal,10.6,734.9,770.6,90.5,Clear,Severely Damaged,68.8,0.21,0,1,521.2,Medium,16602.39,21281.14
2025-01-01 13:00:00,PD_14,2025-01-01,MCH_817,Afternoon,OP_31,Coal,7.0,829.3,131.8,161.6,Rainy,Operational,61.3,1.11,0,0,616.9,Low,8219.12,23223.99
2025-01-01 14:00:00,PD_15,2025-01-01,MCH_145,Morning,OP_27,Nickel,5.1,155.2,261.0,134.2,Rainy,Operational,76.4,3.65,0,1,1492.7,Low,14040.2,35012.68
2025-01-01 15:00:00,PD_16,2025-01-01,MCH_569,Morning,OP_7,Coal,5.5,569.8,518.5,178.4,Storm,Operational,74.5,0.9,1,0,909.2,Low,1946.2,32751.6
2025-01-01 16:00:00,PD_17,2025-01-01,MCH_203,Night,OP_40,Nickel,4.9,574.7,796.6,105.0,Clear,Operational,98.8,2.5,0,0,1116.3,Low,18099.06,19627.55
2025-01-01 17:00:00,PD_18,2025-01-01,MCH_731,Morning,OP_17,Coal,7.0,876.6,182.3,90.3,Rainy,Operational,83.5,4.37,0,0,787.6,Low,6342.04,3574.05
2025-01-01 18:00:00,PD_19,2025-01-01,MCH_440,Morning,OP_4,Coal,7.2,281.0,167.0,22.6,Clear,Closed,74.7,3.89,0,0,454.7,Medium,14044.94,20833.72
2025-01-01 19:00:00,PD_20,2025-01-01,MCH_693,Morning,OP_3,Coal,9.6,718.4,342.3,179.1,Clear,Severely Damaged,73.8,3.72,0,0,123.0,Low,3679.92,29519.9
2025-01-01 20:00:00,PD_21,2025-01-01,MCH_839,Night,OP_12,Iron Sand,9.5,69.2,50.0,52.8,Rainy,Operational,87.3,2.54,0,0,1398.8,Low,5653.39,2133.26
2025-01-01 21:00:00,PD_22,2025-01-01,MCH_473,Night,OP_3,Coal,4.5,407.3,506.6,143.2,Rainy,Operational,71.5,1.35,0,0,732.2,High,2760.08,11821.63
2025-01-01 22:00:00,PD_23,2025-01-01,MCH_588,Morning,OP_25,Nickel,7.3,173.7,396.4,112.7,Foggy,Operational,75.9,0.56,0,1,553.9,Medium,15086.18,10171.89
2025-01-01 23:00:00,PD_24,2025-01-01,MCH_595,Night,OP_28,Iron Sand,6.9,930.7,527.6,59.3,Clear,Operational,61.5,4.73,0,1,359.4,Low,14384.87,37070.84
2025-01-02 00:00:00,PD_25,2025-01-02,MCH_572,Night,OP_40,Iron Sand,7.3,864.3,619.3,3.6,Clear,Severely Damaged,88.2,1.47,0,1,873.2,Low,3280.91,8719.16
2025-01-02 01:00:00,PD_26,2025-01-02,MCH_822,Afternoon,OP_6,Coal,7.9,512.0,131.7,76.1,Clear,Severely Damaged,88.1,3.69,0,0,1455.1,Low,1927.64,9915.64
2025-01-02 02:00:00,PD_27,2025-01-02,MCH_542,Night,OP_37,Coal,12.0,759.0,176.6,175.2,Clear,Operational,63.5,0.78,0,0,143.6,Low,14838.21,6376.86
2025-01-02 03:00:00,PD_28,2025-01-02,MCH_772,Morning,OP_6,Coal,8.0,545.9,385.4,71.8,Clear,Operational,64.7,4.95,0,0,183.6,High,5618.51,38011.03
2025-01-02 04:00:00,PD_29,2025-01-02,MCH_590,Afternoon,OP_40,Iron Sand,6.9,386.4,368.4,10.0,Rainy,Operational,88.3,2.18,0,1,351.0,Low,11700.04,23684.2
2025-01-02 05:00:00,PD_30,2025-01-02,MCH_918,Morning,OP_17,Iron Sand,11.3,668.6,558.4,138.8,Clear,Operational,93.3,0.41,0,0,719.0,Low,6654.66,38014.67
2025-01-02 06:00:00,PD_31,2025-01-02,MCH_843,Morning,OP_35,Nickel,11.2,529.4,768.7,160.4,Clear,Operational,75.2,0.42,0,0,640.6,Medium,17276.72,17548.54
2025-01-02 07:00:00,PD_32,2025-01-02,MCH_170,Afternoon,OP_42,Coal,7.1,729.1,132.6,11.6,Clear,Operational,97.0,4.01,0,0,616.4,Low,10154.04,11287.66
2025-01-02 08:00:00,PD_33,2025-01-02,MCH_796,Morning,OP_15,Coal,10.9,403.9,683.2,148.7,Clear,Operational,77.3,1.95,0,0,1226.4,Low,12760.42,16849.2
2025-01-02 09:00:00,PD_34,2025-01-02,MCH_290,Morning,OP_14,Coal,9.9,805.6,710.2,128.4,Clear,Operational,80.8,2.29,0,1,1371.0,Medium,6393.11,2685.89
2025-01-02 10:00:00,PD_35,2025-01-02,MCH_382,Morning,OP_33,Coal,6.9,499.3,441.8,68.5,Rainy,Severely Damaged,69.2,1.16,0,0,954.5,Medium,5850.34,23300.49
2025-01-02 11:00:00,PD_36,2025-01-02,MCH_171,Morning,OP_12,Coal,9.6,208.4,133.1,103.3,Clear,Closed,93.6,4.23,0,0,1434.7,Low,3955.84,38384.23
2025-01-02 12:00:00,PD_37,2025-01-02,MCH_691,Morning,OP_31,Coal,6.4,968.9,92.7,69.5,Rainy,Severely Damaged,67.6,1.12,0,0,1133.0,Low,12546.52,17608.99
2025-01-02 13:00:00,PD_38,2025-01-02,MCH_681,Afternoon,OP_42,Coal,6.1,407.1,754.1,166.9,Foggy,Operational,63.1,2.02,0,0,1176.9,Medium,15327.12,38415.65
2025-01-02 14:00:00,PD_39,2025-01-02,MCH_813,Afternoon,OP_39,Nickel,11.5,721.9,59.0,43.1,Rainy,Operational,65.7,3.43,0,1,187.2,Low,13680.64,18782.55
2025-01-02 15:00:00,PD_40,2025-01-02,MCH_240,Morning,OP_20,Coal,5.6,488.8,218.8,172.4,Rainy,Operational,63.5,2.46,0,0,1408.8,Low,3860.7,29632.5
2025-01-02 16:00:00,PD_41,2025-01-02,MCH_457,Night,OP_29,Coal,5.0,484.3,51.5,69.8,Clear,Operational,69.7,2.67,0,0,964.7,High,11102.63,10455.27
